%time,field0,field1,field2,field3,field4,field5,field6
1432832054112267017,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1432832056806207895,0.0173069350421,0.036467961967,0.0160345453769,1.0015693903,-0.0663998052478,-0.0121643133461,0.0088561559096
1432832059063535928,0.0199865698814,0.109066158533,0.0277567524463,0.973196327686,-0.197884589434,-0.0300985146314,0.0567532852292
1432832061129591941,0.0506091676652,0.086527235806,0.0709596052766,0.94382160902,-0.294880598783,-0.00448144506663,0.103325359523
1432832061839287996,0.0387576967478,0.0518788471818,0.0795208588243,0.880964994431,-0.329324692488,0.00816574320197,0.126821294427
1432832066049659967,0.00267745368183,0.0571501143277,0.0819352865219,0.802047967911,-0.328276634216,0.0208959393203,0.130768537521
1432832069902690887,0.00259742210619,0.0674907639623,0.0826904401183,0.891617774963,-0.17358289659,-0.00385513016954,0.0456488505006
1432832072347558975,-0.0112616801634,-0.00911847501993,0.0418786108494,1.05073857307,0.0736895129085,-0.0477963611484,-0.023243220523
1432832078323304891,-0.0619569979608,-0.0281264334917,0.0452880561352,1.06387114525,0.237396001816,-0.0531869456172,-0.0295670665801
1432832081267746925,0.00336795393378,0.0686120539904,0.0827244147658,0.889055907726,-0.177144244313,-0.00233042729087,0.0474683493376
1432832086398679971,-0.00802039727569,0.0630066543818,0.0320319756866,1.07436454296,-0.0853607729077,-0.16455540061,0.00745143601671
1432832093886249065,-0.088832333684,0.0978450849652,-0.00542567763478,1.03181505203,-0.0776473283768,-0.22388087213,0.0236844774336
1432832094810977935,-0.0109440181404,-0.0076752230525,0.0418277494609,1.05583822727,0.0715227872133,-0.0464411638677,-0.0231313277036
1432832097531430006,0.0402055233717,0.0356599278748,0.089684382081,0.930766284466,-0.0962714701891,0.190658330917,0.0573072507977
1432832102117022991,0.0114673804492,0.00605010055006,0.0507395528257,0.700719416142,-0.0872968509793,0.274890959263,0.0667246356606
1432832105370063066,0.0038598801475,0.0689416974783,0.0825113281608,0.889863550663,-0.177209094167,-0.000563491717912,0.0484372153878
1432832113720206975,0.0242875497788,0.0515697784722,0.0323901474476,0.825034976006,-0.0982585474849,0.111969836056,0.15120062232
1432832118367881059,0.00385998631828,0.0689413174987,0.0825114771724,0.889864861965,-0.177208051085,-0.000563161156606,0.0484369620681
1432832119566705942,0.0400255993009,0.0350525006652,0.0904365330935,0.936953485012,-0.093921661377,0.189680412412,0.0567085705698
